日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/04/11,"13,734,322","386,172,383",28.50,28.50,27.85,28.25,+0.30,"4,814"
108/04/12,"11,835,714","333,099,877",28.10,28.50,27.50,28.35,+0.10,"4,544"
108/04/15,"15,273,906","434,448,294",28.45,28.70,28.10,28.55,+0.20,"5,641"
108/04/16,"29,294,238","858,952,008",28.55,29.85,28.55,29.10,+0.55,"10,958"
108/04/17,"32,907,074","939,779,358",28.25,28.95,28.25,28.55,-0.55,"8,906"
108/04/18,"21,656,632","617,636,358",28.85,28.95,28.15,28.50,-0.05,"8,825"
108/04/19,"5,781,566","164,881,705",28.80,28.90,28.30,28.30,-0.20,"2,873"
108/04/22,"30,100,259","888,144,270",29.05,30.15,28.60,30.10,+1.80,"11,655"
108/04/23,"18,430,273","532,114,910",29.80,30.00,28.45,28.55,-1.55,"8,379"
108/04/24,"8,975,158","256,698,576",28.70,28.90,28.40,28.70,+0.15,"4,190"
108/04/25,"6,898,461","196,516,686",28.75,28.80,28.25,28.50,-0.20,"3,967"
108/04/26,"6,126,971","174,936,021",28.50,28.75,28.25,28.50, 0.00,"3,150"
108/04/29,"11,380,988","326,133,095",28.75,29.10,28.00,29.00,+0.50,"3,850"
108/04/30,"7,379,655","210,795,173",29.00,29.05,28.35,28.60,-0.40,"3,243"
108/05/02,"4,098,083","116,273,803",28.70,28.70,28.15,28.45,-0.15,"2,282"
108/05/03,"2,757,842","78,856,689",28.60,28.70,28.50,28.65,+0.20,"1,817"
108/05/06,"10,609,836","304,586,351",28.45,28.95,28.20,28.95,+0.30,"4,111"
108/05/07,"13,121,128","387,346,736",29.45,29.90,29.20,29.25,+0.30,"5,603"
108/05/08,"7,072,480","207,404,055",29.00,29.50,28.90,29.45,+0.20,"3,321"
108/05/09,"7,349,530","213,717,670",29.50,29.50,28.80,29.00,-0.45,"3,465"
108/05/10,"14,726,226","431,550,652",29.40,29.90,28.45,28.80,-0.20,"5,709"
108/05/13,"6,186,399","175,881,548",28.55,28.70,28.20,28.40,-0.40,"2,872"
108/05/14,"11,739,985","328,694,767",27.80,28.90,27.10,28.55,+0.15,"4,928"
108/05/15,"16,259,665","481,204,039",28.70,29.90,28.65,29.85,+1.30,"7,084"
108/05/16,"11,231,902","334,855,911",29.85,30.10,29.40,29.40,-0.45,"4,411"
108/05/17,"25,342,495","705,464,027",29.40,29.40,26.65,26.65,-2.75,"10,662"
108/05/20,"19,191,700","503,797,687",26.45,27.35,25.15,27.00,+0.35,"8,268"
108/05/21,"12,920,515","338,151,690",26.70,26.90,25.60,26.40,-0.60,"5,938"
108/05/22,"5,436,862","145,446,173",26.70,26.90,26.55,26.55,+0.15,"2,608"
108/05/23,"10,504,494","267,918,893",25.95,26.10,25.10,25.40,-1.15,"4,790"
108/05/24,"8,419,418","216,568,950",25.15,25.95,25.15,25.40, 0.00,"3,233"
