日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/03/10,"7,270,142","241,116,950",32.65,33.60,32.65,33.30,+0.50,"3,186"
109/03/11,"6,969,669","235,189,915",33.45,34.15,33.30,33.50,+0.20,"3,922"
109/03/12,"13,651,161","431,272,602",33.00,33.00,30.75,31.10,-2.40,"6,559"
109/03/13,"17,177,517","511,840,508",28.50,32.35,28.40,30.40,-0.70,"7,984"
109/03/16,"17,067,486","533,055,705",30.60,32.45,30.20,30.50,+0.10,"8,439"
109/03/17,"17,193,799","523,100,170",30.50,31.40,29.90,30.00,-0.50,"7,990"
109/03/18,"15,930,452","493,760,351",30.20,31.75,30.20,30.90,+0.90,"8,131"
109/03/19,"19,230,576","575,897,775",30.90,31.30,28.45,29.60,-1.30,"8,831"
109/03/20,"14,589,114","456,809,884",31.50,31.80,30.70,30.70,+1.10,"7,278"
109/03/23,"13,137,676","393,692,505",29.90,30.90,28.80,29.60,-1.10,"5,657"
109/03/24,"10,920,389","338,568,668",30.55,31.60,30.55,30.85,+1.25,"5,510"
109/03/25,"16,062,170","505,081,479",31.50,32.30,30.90,30.90,+0.05,"7,954"
109/03/26,"15,869,630","503,663,460",31.35,32.30,30.85,32.10,+1.20,"8,349"
109/03/27,"16,569,095","524,374,308",32.70,32.80,30.80,31.00,-1.10,"8,459"
109/03/30,"6,731,348","203,966,156",30.15,30.65,29.80,30.40,-0.60,"3,433"
109/03/31,"8,460,578","255,818,101",30.80,30.85,30.00,30.25,-0.15,"4,671"
109/04/01,"4,734,932","142,649,380",30.35,30.35,29.90,30.15,-0.10,"2,650"
109/04/06,"9,565,146","288,628,844",30.50,30.60,29.80,30.15, 0.00,"4,851"
109/04/07,"12,580,069","390,294,605",30.65,31.70,30.50,31.65,+1.50,"5,722"
109/04/08,"19,997,373","656,038,009",32.30,33.45,32.10,33.05,+1.40,"9,284"
109/04/09,"15,879,521","535,071,397",33.70,34.25,33.10,33.50,+0.45,"7,524"
109/04/10,"9,806,338","330,692,095",33.75,34.30,33.45,33.50, 0.00,"4,655"
109/04/13,"6,380,427","213,998,741",33.55,33.95,33.05,33.50, 0.00,"3,198"
109/04/14,"9,805,782","333,528,446",33.70,34.30,33.70,34.15,+0.65,"4,931"
109/04/15,"11,342,856","392,707,286",34.30,34.95,34.30,34.85,+0.70,"5,545"
109/04/16,"27,167,615","977,194,125",34.85,36.50,34.65,36.35,+1.50,"13,517"
109/04/17,"27,078,387","989,254,307",37.50,37.85,35.50,35.60,-0.75,"12,832"
109/04/20,"11,282,963","400,102,781",35.80,36.00,35.15,35.35,-0.25,"5,304"
109/04/21,"18,025,376","616,190,137",35.10,35.10,33.55,34.00,-1.35,"8,638"
109/04/22,"7,984,262","270,302,307",33.50,34.40,33.00,34.35,+0.35,"3,928"
109/04/23,"6,446,668","221,475,772",34.50,34.75,33.95,34.30,-0.05,"3,399"
109/04/24,"8,471,354","293,958,702",34.20,35.20,33.95,35.20,+0.90,"4,585"
109/04/27,"19,363,353","692,590,115",35.75,36.10,35.30,36.10,+0.90,"7,430"
109/04/28,"9,151,431","329,498,620",36.25,36.45,35.75,35.80,-0.30,"5,090"
109/04/29,"6,475,113","232,003,338",35.85,36.10,35.65,35.75,-0.05,"3,406"
109/04/30,"10,187,861","367,104,096",36.25,36.30,35.85,36.00,+0.25,"4,165"
109/05/04,"9,567,152","336,226,127",35.00,35.50,34.60,35.20,-0.80,"4,767"
109/05/05,"8,874,211","315,686,147",35.65,36.00,35.05,35.95,+0.75,"3,800"
109/05/06,"9,758,554","351,202,200",35.70,36.50,35.30,35.95, 0.00,"4,272"
109/05/07,"15,115,864","550,528,140",36.45,36.70,36.25,36.35,+0.40,"6,635"
109/05/08,"7,339,909","266,834,888",36.80,36.80,36.00,36.35, 0.00,"3,546"
109/05/11,"12,765,401","470,201,902",37.00,37.35,36.40,36.45,+0.10,"5,687"
109/05/12,"9,360,347","341,489,606",36.50,36.90,36.05,36.20,-0.25,"4,681"
109/05/13,"6,842,310","249,172,287",36.20,36.85,36.05,36.60,+0.40,"3,441"
109/05/14,"8,040,367","292,071,992",36.40,36.75,36.00,36.10,-0.50,"4,104"
109/05/15,"8,706,316","311,712,093",36.50,36.65,35.35,35.55,-0.55,"4,382"
109/05/18,"44,539,526","1,451,116,337",33.50,34.45,32.00,32.00,-3.55,"22,077"
109/05/19,"42,020,319","1,310,264,322",32.50,32.55,30.50,31.05,-0.95,"21,098"
109/05/20,"39,757,144","1,212,734,247",30.80,30.95,30.30,30.30,-0.75,"19,321"
109/05/21,"46,274,456","1,472,737,560",31.10,32.35,31.10,32.30,+2.00,"21,867"
109/05/22,"22,698,124","721,484,040",32.05,32.10,31.60,31.60,-0.70,"11,467"
109/05/25,"19,391,160","601,690,052",31.65,31.80,30.35,31.10,-0.50,"10,181"
109/05/26,"16,965,356","529,950,751",31.30,31.45,31.10,31.10, 0.00,"8,161"
109/05/27,"19,999,748","618,983,886",31.15,31.30,30.80,30.80,-0.30,"8,336"
109/05/28,"27,429,862","843,088,206",31.00,31.10,30.50,30.50,-0.30,"11,899"
109/05/29,"27,643,503","834,829,229",30.30,30.60,30.00,30.10,-0.40,"11,866"
109/06/01,"24,754,194","755,989,564",30.35,31.00,30.25,30.95,+0.85,"10,185"
109/06/02,"21,970,031","679,959,057",31.05,31.15,30.70,31.10,+0.15,"9,396"
109/06/03,"24,196,737","760,413,896",31.30,31.70,31.10,31.60,+0.50,"9,496"
109/06/04,"22,329,216","702,504,044",31.80,31.90,31.15,31.40,-0.20,"9,767"
109/06/05,"22,794,296","725,981,522",31.50,32.15,31.40,31.95,+0.55,"9,643"
109/06/08,"40,358,263","1,328,733,879",32.90,33.20,32.50,33.00,+1.05,"18,687"
109/06/09,"21,068,927","689,900,486",33.10,33.25,32.50,32.75,-0.25,"10,692"
109/06/10,"13,760,402","449,937,281",32.95,32.95,32.40,32.90,+0.15,"6,296"
109/06/11,"33,130,100","1,074,882,400",33.00,33.05,31.75,31.80,-1.10,"13,660"
109/06/12,"18,660,678","586,926,639",30.60,32.10,30.60,32.00,+0.20,"8,596"
109/06/15,"13,025,861","415,217,926",32.30,32.30,31.50,31.70,-0.30,"5,967"
109/06/16,"16,159,265","521,333,872",32.20,32.45,31.90,32.45,+0.75,"7,019"
109/06/17,"20,488,590","670,939,251",32.70,33.00,32.30,32.75,+0.30,"9,191"
109/06/18,"15,047,396","493,607,595",32.80,33.00,32.55,32.75, 0.00,"7,173"
109/06/19,"21,025,444","693,591,676",32.90,33.20,32.70,33.20,+0.45,"8,233"
109/06/22,"22,050,168","734,590,555",33.30,33.70,33.00,33.00,-0.20,"9,075"
109/06/23,"17,605,550","583,366,617",33.30,33.40,32.75,33.05,+0.05,"6,630"
109/06/24,"26,232,753","883,599,316",33.50,33.90,33.35,33.60,+0.55,"10,301"
109/06/29,"24,894,264","835,254,464",33.40,34.00,33.10,33.40,-0.20,"10,616"
109/06/30,"23,017,377","782,706,934",33.65,34.45,33.50,34.35,+0.95,"10,325"
109/07/01,"28,746,894","1,003,182,540",34.65,35.20,34.50,34.95,+0.60,"13,297"
109/07/02,"20,368,969","712,884,380",35.05,35.40,34.55,35.40,+0.45,"8,940"
109/07/03,"44,205,574","1,596,771,196",36.35,36.40,35.65,36.20,+0.80,"18,838"
109/07/06,"33,438,199","1,225,177,751",36.25,37.10,36.20,37.10,+0.90,"15,230"
109/07/07,"50,448,738","1,896,663,183",38.00,38.15,36.65,37.80,+0.70,"21,532"
109/07/08,"43,421,621","1,685,661,576",38.20,39.30,38.05,38.95,+1.15,"17,010"
109/07/09,"42,911,758","1,692,892,823",39.90,39.90,38.50,39.55,+0.60,"18,241"
109/07/10,"44,217,711","1,716,608,526",39.75,39.80,38.10,38.55,-1.00,"17,578"
109/07/13,"35,873,429","1,297,591,150",36.75,36.80,35.65,36.20,X0.00,"18,023"
109/07/14,"34,357,877","1,206,404,621",35.70,35.90,34.70,34.75,-1.45,"17,094"
109/07/15,"22,729,447","783,775,270",34.85,35.25,34.00,34.10,-0.65,"11,802"
109/07/16,"20,116,055","693,928,701",34.30,34.95,34.10,34.35,+0.25,"9,246"
109/07/17,"31,670,319","1,103,650,135",34.95,35.40,34.45,34.85,+0.50,"11,823"
109/07/20,"25,394,672","895,728,010",35.45,35.70,34.80,35.20,+0.35,"11,292"
109/07/21,"21,899,043","772,890,671",35.45,35.60,35.00,35.45,+0.25,"8,539"
109/07/22,"11,593,745","411,101,841",35.50,35.60,35.30,35.40,-0.05,"6,010"
109/07/23,"33,727,384","1,217,544,345",35.65,36.60,35.60,36.45,+1.05,"14,372"
109/07/24,"69,906,889","2,586,015,881",36.95,37.50,36.10,36.75,+0.30,"34,278"
109/07/27,"37,268,057","1,343,791,217",36.85,37.25,35.50,35.50,-1.25,"17,021"
109/07/28,"27,879,361","985,967,182",35.50,36.50,34.50,34.80,-0.70,"11,991"
109/07/29,"11,944,952","417,348,712",34.95,35.30,34.70,34.85,+0.05,"5,274"
109/07/30,"12,517,323","439,740,222",35.15,35.45,34.90,35.40,+0.55,"4,991"
109/07/31,"11,088,943","392,386,360",35.55,35.70,35.15,35.50,+0.10,"4,391"
109/08/03,"17,774,148","630,220,228",35.60,35.75,35.10,35.45,-0.05,"8,015"
109/08/04,"22,139,523","783,668,411",35.60,35.75,35.15,35.30,-0.15,"9,696"
109/08/05,"36,257,128","1,296,143,789",35.60,36.20,35.50,35.70,+0.40,"15,241"
109/08/06,"23,853,606","843,057,391",36.00,36.00,35.00,35.05,-0.65,"11,112"
109/08/07,"20,998,615","725,400,394",35.05,35.05,34.30,34.45,-0.60,"11,443"
109/08/10,"45,891,090","1,642,710,638",35.05,36.40,34.80,35.60,+1.15,"18,345"
109/08/11,"19,576,549","698,412,560",35.75,36.00,35.50,35.65,+0.05,"8,655"
109/08/12,"18,867,720","673,705,215",35.65,35.90,35.45,35.80,+0.15,"7,335"
109/08/13,"17,994,154","637,482,973",36.00,36.05,35.05,35.50,-0.30,"9,195"
109/08/14,"23,286,755","834,027,744",35.65,36.00,35.50,35.80,+0.30,"9,600"
109/08/17,"20,045,525","723,948,311",36.00,36.30,35.85,36.10,+0.30,"8,869"
109/08/18,"43,513,114","1,506,535,422",36.00,36.05,34.00,34.45,-1.65,"24,267"
109/08/19,"41,875,204","1,408,524,458",34.30,34.65,32.80,32.95,-1.50,"20,026"
109/08/20,"35,471,629","1,124,994,345",32.50,32.55,31.05,31.45,-1.50,"15,885"
109/08/21,"19,024,697","607,616,493",32.00,32.30,31.65,31.75,+0.30,"9,036"
109/08/24,"23,473,566","729,197,038",31.65,31.70,30.85,31.20,-0.55,"10,303"
109/08/25,"14,331,832","449,401,332",31.25,31.65,31.10,31.40,+0.20,"6,360"
109/08/26,"15,094,654","470,271,147",31.40,31.45,31.05,31.20,-0.20,"6,854"
109/08/27,"17,597,426","554,402,219",31.40,31.90,31.15,31.45,+0.25,"8,102"
109/08/28,"7,460,309","233,649,817",31.40,31.50,31.10,31.50,+0.05,"3,644"
109/08/31,"14,671,538","461,404,792",31.50,31.80,31.20,31.20,-0.30,"6,331"
109/09/01,"13,766,219","427,198,797",31.20,31.30,30.80,31.05,-0.15,"7,151"
109/09/02,"12,686,531","394,477,386",31.20,31.45,30.90,31.00,-0.05,"6,230"
109/09/03,"19,066,719","594,133,574",31.30,31.45,30.90,30.95,-0.05,"8,701"
109/09/04,"12,315,642","377,827,610",30.50,31.20,30.15,31.15,+0.20,"5,489"
109/09/07,"13,094,614","408,652,555",31.20,31.40,30.90,31.40,+0.25,"5,605"
109/09/08,"10,109,585","317,622,438",31.45,31.70,31.25,31.25,-0.15,"4,914"
109/09/09,"9,248,970","286,235,899",31.05,31.30,30.70,31.20,-0.05,"4,461"
109/09/10,"14,509,858","448,272,748",31.35,31.40,30.75,30.80,-0.40,"7,713"
109/09/11,"10,411,338","318,373,985",30.80,30.80,30.50,30.55,-0.25,"4,606"
109/09/14,"10,354,752","319,868,553",30.60,31.05,30.60,31.00,+0.45,"4,210"
109/09/15,"16,732,877","526,732,490",31.15,31.70,31.05,31.55,+0.55,"6,674"
109/09/16,"12,002,363","378,337,315",31.75,31.85,31.35,31.35,-0.20,"5,541"
109/09/17,"10,308,245","319,864,958",31.35,31.35,30.90,30.95,-0.40,"4,980"
109/09/18,"8,376,570","259,783,706",31.00,31.30,30.80,31.30,+0.35,"3,104"
109/09/21,"16,429,880","504,977,207",31.30,31.30,30.50,30.50,-0.80,"6,932"
109/09/22,"15,077,591","454,203,392",30.40,30.40,29.85,30.15,-0.35,"6,039"
109/09/23,"16,767,017","500,455,042",30.30,30.35,29.70,29.75,-0.40,"7,281"
109/09/24,"14,893,137","445,928,510",29.60,30.25,29.45,29.90,+0.15,"6,623"
109/09/25,"14,051,648","423,320,335",30.20,30.50,29.90,30.50,+0.60,"5,845"
109/09/28,"10,055,401","308,938,144",30.75,30.90,30.60,30.65,+0.15,"4,834"
109/09/29,"6,202,686","188,963,845",30.80,30.80,30.35,30.40,-0.25,"3,007"
109/09/30,"3,934,563","120,032,022",30.45,30.65,30.30,30.50,+0.10,"1,725"
109/10/05,"3,710,331","113,386,915",30.45,30.70,30.40,30.60,+0.10,"2,242"
109/10/06,"7,135,629","218,057,291",30.75,30.75,30.35,30.45,-0.15,"3,342"
109/10/07,"9,610,843","290,380,652",30.35,30.45,30.05,30.10,-0.35,"4,393"
109/10/08,"14,833,411","453,207,828",30.25,30.80,30.15,30.75,+0.65,"5,943"
109/10/12,"7,165,280","220,087,348",30.95,30.95,30.50,30.75, 0.00,"3,041"
109/10/13,"6,896,670","208,677,595",30.70,30.70,30.10,30.25,-0.50,"3,326"
109/10/14,"4,554,324","138,602,675",30.30,30.65,30.30,30.45,+0.20,"2,013"
109/10/15,"5,727,173","174,679,326",30.45,30.70,30.25,30.55,+0.10,"2,323"
109/10/16,"4,779,401","145,922,105",30.65,30.75,30.30,30.30,-0.25,"2,198"
109/10/19,"4,718,791","143,831,523",30.40,30.60,30.40,30.50,+0.20,"1,707"
109/10/20,"14,461,117","448,195,627",30.70,31.30,30.65,30.95,+0.45,"6,463"
109/10/21,"6,971,283","215,870,473",31.20,31.25,30.80,30.90,-0.05,"3,364"
109/10/22,"9,766,627","302,497,474",30.90,31.15,30.70,31.15,+0.25,"2,467"
109/10/23,"5,157,768","160,164,925",31.20,31.20,30.90,31.10,-0.05,"2,358"
109/10/26,"7,081,061","218,079,460",31.20,31.20,30.70,30.70,-0.40,"3,288"
109/10/27,"8,125,042","246,542,482",30.30,30.45,30.20,30.35,-0.35,"3,654"
109/10/28,"6,410,982","194,968,752",30.35,30.60,30.30,30.40,+0.05,"2,607"
109/10/29,"6,955,374","209,507,328",30.00,30.35,29.90,30.25,-0.15,"2,864"
109/10/30,"7,249,252","218,134,716",30.30,30.40,29.95,29.95,-0.30,"3,023"
109/11/02,"6,659,778","199,583,539",30.15,30.20,29.80,30.05,+0.10,"3,283"
109/11/03,"4,722,219","142,935,208",30.20,30.45,30.10,30.25,+0.20,"2,271"
109/11/04,"17,059,811","528,881,998",30.50,31.35,30.45,31.05,+0.80,"7,576"
109/11/05,"30,427,479","964,487,023",31.40,31.95,31.15,31.90,+0.85,"13,397"
109/11/06,"26,707,706","853,660,407",32.40,32.55,31.50,31.85,-0.05,"11,011"
109/11/09,"13,982,695","446,416,425",32.15,32.25,31.70,31.95,+0.10,"6,341"
109/11/10,"14,573,631","466,398,848",32.10,32.20,31.65,32.15,+0.20,"6,197"
109/11/11,"12,742,820","412,363,186",32.15,32.50,32.10,32.35,+0.20,"6,496"
109/11/12,"10,777,949","348,666,635",32.60,32.70,32.10,32.15,-0.20,"4,319"
109/11/13,"6,923,470","222,088,833",32.15,32.25,31.85,32.15, 0.00,"3,045"
109/11/16,"12,841,148","417,065,077",32.50,32.60,32.35,32.50,+0.35,"5,064"
109/11/17,"11,498,286","376,245,080",32.75,33.00,32.50,32.55,+0.05,"5,128"
109/11/18,"8,110,651","263,249,933",32.55,32.60,32.25,32.50,-0.05,"4,065"
109/11/19,"6,718,990","218,154,371",32.50,32.65,32.30,32.35,-0.15,"4,415"
109/11/20,"7,468,144","241,895,680",32.30,32.50,32.20,32.50,+0.15,"3,912"
109/11/23,"32,623,330","1,095,122,728",32.70,34.00,32.65,33.90,+1.40,"13,868"
109/11/24,"26,660,566","905,913,560",33.95,34.60,33.50,33.90, 0.00,"11,771"
109/11/25,"13,568,669","458,410,171",34.20,34.40,33.35,33.70,-0.20,"6,452"
109/11/26,"15,598,740","532,711,572",34.10,34.40,34.00,34.20,+0.50,"6,608"
109/11/27,"22,111,736","767,936,444",34.60,34.95,34.35,34.90,+0.70,"10,570"
109/11/30,"32,064,716","1,141,312,194",35.20,35.90,35.20,35.40,+0.50,"13,032"
109/12/01,"16,673,108","590,450,653",35.70,35.85,35.00,35.55,+0.15,"7,707"
109/12/02,"13,480,712","478,140,353",35.85,35.85,35.30,35.45,-0.10,"5,648"
109/12/03,"18,301,108","640,941,404",35.50,35.50,34.65,34.90,-0.55,"8,195"
109/12/04,"23,133,772","820,889,239",35.05,35.75,35.05,35.60,+0.70,"10,403"
109/12/07,"27,421,129","981,463,364",36.00,36.40,35.30,35.95,+0.35,"11,287"
109/12/08,"20,811,805","747,563,142",36.00,36.25,35.60,35.95, 0.00,"9,205"
109/12/09,"18,289,068","662,289,420",36.10,36.50,36.00,36.15,+0.20,"8,329"
109/12/10,"17,224,899","619,305,249",36.30,36.30,35.50,35.80,-0.35,"7,807"
109/12/11,"17,941,384","632,314,879",35.85,36.00,34.60,35.35,-0.45,"7,830"
109/12/14,"7,474,384","264,708,178",35.55,35.70,35.05,35.45,+0.10,"3,463"
109/12/15,"11,044,481","385,527,594",35.50,35.60,34.60,34.70,-0.75,"5,068"
109/12/16,"8,421,803","295,757,892",35.00,35.30,34.90,35.05,+0.35,"4,338"
109/12/17,"6,521,390","226,736,350",35.10,35.10,34.65,34.75,-0.30,"3,224"
109/12/18,"23,348,330","795,366,786",34.75,34.85,33.80,34.00,-0.75,"10,519"
109/12/21,"12,039,255","408,728,137",34.00,34.20,33.60,34.20,+0.20,"5,678"
109/12/22,"10,240,540","349,540,481",34.20,34.60,33.65,33.65,-0.55,"4,955"
109/12/23,"10,446,091","351,985,941",33.70,34.00,33.55,33.55,-0.10,"4,742"
109/12/24,"8,041,046","272,437,629",33.65,34.10,33.65,33.70,+0.15,"3,306"
109/12/25,"12,228,942","420,913,251",34.00,34.70,33.95,34.60,+0.90,"5,813"
109/12/28,"15,048,775","526,748,899",35.30,35.30,34.70,35.00,+0.40,"7,206"
109/12/29,"9,952,499","343,942,327",35.00,35.00,34.40,34.45,-0.55,"4,979"
109/12/30,"4,658,289","161,195,097",34.70,34.80,34.50,34.60,+0.15,"2,403"
109/12/31,"7,446,999","258,811,188",34.65,34.95,34.60,34.75,+0.15,"3,004"
110/01/04,"7,908,385","276,100,373",35.00,35.10,34.80,34.95,+0.20,"3,644"
110/01/05,"9,941,277","347,068,554",34.95,35.15,34.50,35.10,+0.15,"5,159"
110/01/06,"22,754,986","798,613,830",35.20,35.60,34.60,34.70,-0.40,"9,466"
110/01/07,"17,349,890","614,006,994",35.30,35.65,35.10,35.15,+0.45,"7,852"
110/01/08,"15,202,717","538,507,655",35.75,35.80,35.25,35.50,+0.35,"6,506"
110/01/11,"16,362,898","585,569,114",35.50,36.00,35.50,35.95,+0.45,"7,327"
110/01/12,"31,706,182","1,148,444,070",36.10,36.80,35.65,35.75,-0.20,"13,530"
110/01/13,"26,080,794","944,306,538",36.10,36.50,35.70,36.40,+0.65,"10,797"
110/01/14,"17,762,112","647,271,429",36.70,36.70,36.10,36.40, 0.00,"7,517"
110/01/15,"23,460,402","853,249,888",36.60,36.70,35.80,36.20,-0.20,"9,060"
110/01/18,"34,073,755","1,249,606,834",36.45,37.15,35.60,37.00,+0.80,"14,785"
110/01/19,"100,774,331","3,909,914,563",37.60,39.75,37.60,38.30,+1.30,"45,110"
110/01/20,"76,867,440","2,979,593,849",38.90,39.60,37.50,39.00,+0.70,"34,160"
110/01/21,"102,353,692","4,069,269,551",39.50,40.90,38.55,39.00, 0.00,"40,868"
110/01/22,"86,069,624","3,479,500,225",39.30,41.25,39.00,41.20,+2.20,"35,100"
110/01/25,"66,358,460","2,711,391,027",41.95,42.55,39.70,40.75,-0.45,"28,459"
110/01/26,"42,765,493","1,708,147,375",40.70,41.10,39.00,39.15,-1.60,"19,544"
110/01/27,"22,488,761","878,190,965",39.65,39.75,38.60,39.10,-0.05,"10,221"
110/01/28,"26,955,000","1,026,200,544",37.85,38.55,37.65,38.40,-0.70,"12,737"
110/01/29,"23,336,882","881,623,845",38.85,39.00,36.95,37.00,-1.40,"10,885"
110/02/01,"16,479,166","605,451,803",36.70,37.30,36.10,37.15,+0.15,"8,348"
110/02/02,"12,744,618","480,203,769",37.40,37.95,37.25,37.80,+0.65,"5,733"
110/02/03,"13,283,263","495,189,446",37.80,37.85,37.00,37.10,-0.70,"6,218"
110/02/04,"10,555,224","389,915,097",37.00,37.40,36.60,36.75,-0.35,"5,167"
110/02/05,"35,417,789","1,350,253,305",37.25,38.65,36.95,38.50,+1.75,"16,534"
110/02/17,"42,366,453","1,699,061,711",40.90,40.95,39.45,40.00,+1.50,"20,595"
110/02/18,"20,584,664","827,942,686",40.45,40.60,39.85,40.20,+0.20,"9,828"
110/02/19,"20,996,610","838,495,778",40.00,40.40,39.55,40.35,+0.15,"9,244"
110/02/22,"23,491,153","941,708,638",40.35,40.55,39.90,40.10,-0.25,"10,314"
110/02/23,"24,116,694","945,633,437",39.55,39.55,38.80,39.25,-0.85,"12,938"
110/02/24,"20,867,231","821,782,363",39.15,39.95,39.00,39.00,-0.25,"8,805"
110/02/25,"46,688,857","1,877,351,293",39.75,40.90,39.30,40.90,+1.90,"18,682"
110/02/26,"32,286,545","1,289,096,164",39.85,40.30,39.75,39.80,-1.10,"13,658"
110/03/02,"22,908,385","919,711,262",40.30,40.85,39.30,39.80, 0.00,"9,213"
110/03/03,"21,893,140","857,050,613",39.80,39.95,38.80,39.25,-0.55,"10,053"
110/03/04,"15,735,910","608,773,776",38.85,39.00,38.50,38.60,-0.65,"7,836"
110/03/05,"10,311,239","393,327,713",37.95,38.50,37.70,38.35,-0.25,"5,476"
110/03/08,"12,411,372","478,518,885",38.85,39.00,38.20,38.30,-0.05,"5,520"
110/03/09,"16,328,095","635,005,272",38.60,39.20,38.30,39.20,+0.90,"7,554"
110/03/10,"12,710,802","500,390,105",39.50,39.65,39.05,39.55,+0.35,"5,602"
110/03/11,"17,079,547","681,736,688",39.80,40.25,39.50,40.05,+0.50,"8,251"
110/03/12,"15,112,893","605,396,473",40.40,40.60,39.60,39.90,-0.15,"7,349"
110/03/15,"32,628,224","1,327,922,799",40.25,41.15,40.20,40.45,+0.55,"13,785"
110/03/16,"20,940,278","856,233,225",40.95,41.15,40.70,40.85,+0.40,"9,145"
110/03/17,"16,743,397","684,414,782",41.20,41.40,40.50,40.80,-0.05,"8,012"
110/03/18,"22,246,449","916,039,181",41.15,41.40,40.85,41.25,+0.45,"9,979"
110/03/19,"13,750,174","559,881,060",40.95,41.15,40.55,40.75,-0.50,"6,666"
110/03/22,"13,885,930","558,897,776",40.75,40.80,39.85,40.70,-0.05,"7,438"
110/03/23,"32,572,848","1,335,086,197",41.00,41.80,40.60,41.75,+1.05,"14,623"
110/03/24,"25,283,704","1,040,582,777",41.65,42.00,40.75,40.95,-0.80,"12,118"
110/03/25,"13,510,957","550,453,903",40.85,41.40,40.35,40.65,-0.30,"5,396"
110/03/26,"9,478,116","387,326,406",40.90,41.15,40.65,40.90,+0.25,"4,542"
110/03/29,"9,164,581","376,536,289",41.25,41.45,40.90,41.05,+0.15,"4,919"
110/03/30,"16,387,510","677,582,548",41.35,41.60,41.15,41.55,+0.50,"7,184"
110/03/31,"21,038,138","875,710,816",41.90,42.15,41.20,41.20,-0.35,"9,257"
110/04/01,"14,631,970","610,186,088",41.70,42.00,41.35,41.80,+0.60,"6,880"
110/04/06,"22,647,307","957,359,030",42.40,42.75,42.00,42.10,+0.30,"11,145"
110/04/07,"17,241,068","728,030,749",42.30,42.65,41.75,42.65,+0.55,"8,802"
110/04/08,"20,768,889","895,117,690",42.85,43.50,42.40,43.45,+0.80,"10,642"
110/04/09,"27,237,366","1,206,040,641",44.50,44.90,43.65,44.05,+0.60,"13,897"
110/04/12,"15,561,158","679,133,902",44.20,44.45,43.30,43.30,-0.75,"8,325"
110/04/13,"19,256,799","823,674,950",43.30,43.45,42.10,42.15,-1.15,"9,016"
110/04/14,"22,770,655","947,959,477",42.30,42.55,40.60,42.20,+0.05,"9,966"
110/04/15,"28,982,755","1,259,905,396",42.60,44.20,42.25,44.20,+2.00,"13,305"
110/04/16,"21,718,451","957,112,927",44.55,44.70,43.50,44.15,-0.05,"10,280"
110/04/19,"11,332,698","495,602,413",44.20,44.20,43.60,43.65,-0.50,"5,475"
110/04/20,"10,257,622","451,335,523",43.70,44.30,43.65,43.90,+0.25,"5,269"
110/04/21,"14,384,294","634,624,612",44.00,44.35,43.85,44.25,+0.35,"6,502"
110/04/22,"25,644,047","1,134,588,744",44.90,45.35,43.20,43.30,-0.95,"11,473"
110/04/23,"33,682,213","1,512,347,796",43.60,45.35,43.40,45.35,+2.05,"15,578"
110/04/26,"40,021,148","1,904,506,731",46.00,48.95,46.00,48.30,+2.95,"19,260"
110/04/27,"16,788,037","803,173,067",48.10,48.30,47.20,48.20,-0.10,"8,613"
110/04/28,"35,182,325","1,747,517,697",49.40,50.70,48.60,49.10,+0.90,"18,077"
110/04/29,"35,197,504","1,779,390,252",50.30,52.00,49.30,49.50,+0.40,"16,375"
110/05/03,"19,238,712","953,113,643",49.55,50.40,48.55,49.00,-0.50,"10,330"
110/05/04,"37,767,647","1,787,840,649",49.00,49.50,45.10,48.15,-0.85,"18,457"
110/05/05,"22,996,707","1,100,863,148",48.45,49.30,46.50,46.50,-1.65,"12,121"
110/05/06,"17,158,368","795,723,758",47.20,47.40,45.40,45.90,-0.60,"7,793"
110/05/07,"13,383,539","632,547,012",46.85,48.00,46.15,47.45,+1.55,"7,001"
110/05/10,"22,622,093","1,087,769,442",48.00,49.45,47.20,47.50,+0.05,"10,187"
110/05/11,"19,232,795","892,936,042",46.90,47.35,45.10,45.80,-1.70,"7,729"
110/05/12,"28,191,520","1,218,020,423",45.50,45.85,41.25,42.95,-2.85,"13,870"
110/05/13,"17,706,055","747,934,156",41.90,43.50,40.30,42.05,-0.90,"9,079"
110/05/14,"13,189,752","564,790,355",43.50,44.10,42.05,42.25,+0.20,"6,562"
110/05/17,"16,109,524","642,970,980",39.10,41.80,38.65,39.45,-2.80,"7,651"
110/05/18,"15,926,733","660,932,728",40.60,42.45,40.10,42.15,+2.70,"8,190"
110/05/19,"15,348,601","630,038,724",41.25,41.95,40.50,41.30,-0.85,"7,466"
110/05/20,"10,706,676","433,324,609",40.50,41.15,40.15,40.20,-1.10,"5,404"
110/05/21,"7,876,634","318,904,928",40.90,41.20,40.15,40.40,+0.20,"4,150"
110/05/24,"8,882,335","355,939,568",40.20,40.75,39.75,40.65,+0.25,"4,243"
110/05/25,"14,104,919","591,768,709",41.35,42.60,41.05,42.05,+1.40,"6,909"
110/05/26,"7,303,697","308,737,358",42.40,42.95,41.90,42.00,-0.05,"3,574"
110/05/27,"5,683,825","237,082,546",42.00,42.15,41.15,41.80,-0.20,"2,721"
110/05/28,"10,503,256","448,030,739",42.40,43.15,42.10,42.75,+0.95,"5,194"
110/05/31,"9,607,824","414,075,675",43.20,43.45,42.70,43.20,+0.45,"4,553"
110/06/01,"9,838,307","432,894,464",43.45,44.80,43.30,43.75,+0.55,"5,191"
